product_id,price,open_24h,volume_24h,low_24h,high_24h,best_bid,best_ask,time,ingested_at
SOL-USD,80.64,81.92,1495477.78941327,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.058308+00:00,2026-04-07T19:24:56.115201
SOL-USD,80.64,81.92,1495478.44426632,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.059268+00:00,2026-04-07T19:24:56.119602
SOL-USD,80.64,81.92,1495479.47817257,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.062513+00:00,2026-04-07T19:24:56.122975
SOL-USD,80.64,81.92,1495485.35033754,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.070720+00:00,2026-04-07T19:24:56.125558
SOL-USD,80.64,81.92,1495486.52770423,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.072010+00:00,2026-04-07T19:24:56.129037
SOL-USD,80.64,81.92,1495487.41278422,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.074134+00:00,2026-04-07T19:24:56.131543
SOL-USD,80.64,81.92,1495488.14887487,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.075136+00:00,2026-04-07T19:24:56.134760
SOL-USD,80.64,81.92,1495489.48489359,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.077361+00:00,2026-04-07T19:24:56.136944
ETH-USD,2095.84,2144.29,192381.52008297,2059.82,2155.73,2095.84,2095.85,2026-04-07 19:24:56.081853+00:00,2026-04-07T19:24:56.138342
BTC-USD,68586.9,69727.98,7965.61458121,67710.01,69997.76,68586.9,68586.91,2026-04-07 19:24:56.084827+00:00,2026-04-07T19:24:56.142153
ETH-USD,2095.85,2144.29,192381.52232738,2059.82,2155.73,2095.84,2095.85,2026-04-07 19:24:56.130570+00:00,2026-04-07T19:24:56.181729
BTC-USD,68586.91,69727.98,7965.61493548,67710.01,69997.76,68586.9,68586.91,2026-04-07 19:24:56.139464+00:00,2026-04-07T19:24:56.191050
SOL-USD,80.64,81.92,1495517.56702585,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.171056+00:00,2026-04-07T19:24:56.224096
SOL-USD,80.64,81.92,1495519.52647711,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.174213+00:00,2026-04-07T19:24:56.227095
SOL-USD,80.64,81.92,1495522.9987353,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.180183+00:00,2026-04-07T19:24:56.236485
SOL-USD,80.64,81.92,1495525.16238299,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.183535+00:00,2026-04-07T19:24:56.251377
SOL-USD,80.64,81.92,1495526.0602544,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.184906+00:00,2026-04-07T19:24:56.258160
SOL-USD,80.64,81.92,1495528.12489229,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.187964+00:00,2026-04-07T19:24:56.260835
SOL-USD,80.64,81.92,1495529.9302482,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.190928+00:00,2026-04-07T19:24:56.275526
SOL-USD,80.64,81.92,1495531.65190928,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.194674+00:00,2026-04-07T19:24:56.291603
SOL-USD,80.64,81.92,1495534.1484166,78.36,82.16,80.64,80.65,2026-04-07 19:24:56.197964+00:00,2026-04-07T19:24:56.309573
